Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
B,0,65,sem,0.229586567,0.444515423,0.32589801,0.318837296,146.8865086,0.483512708,0.390423817,0.858057317,39.3,6.966666667,46.26666667,0.935485714
B,0,65,sem,0.228598757,0.44308723,0.328314014,0.319328492,147.8938785,0.484077308,0.408029716,0.857596984,36.36666667,5.8,42.16666667,0.921042254
B,0,65,sem,0.218767035,0.449740169,0.331492796,0.345505827,149.2828241,0.513570168,0.423304648,0.850390751,37.4,6.466666667,43.86666667,0.931608696
B,0,65,com,0.218174827,0.45200941,0.329815763,0.348910896,148.6461314,0.517322378,0.409467835,0.850215103,35.33333333,5.9,41.23333333,0.899945205
B,0,65,com,0.22119065,0.448106055,0.330703295,0.339035594,148.9568649,0.506387725,0.406232606,0.856664695,35.7,6.133333333,41.83333333,0.895366197
B,0,65,com,0.221361298,0.447846471,0.330792231,0.338437751,148.9902242,0.50572057,0.428260243,0.849729863,36.86666667,6.766666667,43.63333333,0.892945946
B,0,65,com,0.230983025,0.439804484,0.329212491,0.311307912,148.2239573,0.474805206,0.434882031,0.853570683,34.93333333,6.266666667,41.2,0.895352113
B,0,65,com,0.222440767,0.447179857,0.330379376,0.335621518,148.8170452,0.502569797,0.403107547,0.858202248,35.83333333,5.6,41.43333333,
C,0,65,sem,0.21134497,0.451284678,0.337370352,0.362102283,151.5142625,0.531681486,0.3225696,0.890328874,41.06666667,8.533333333,49.6,0.905723077
C,0,65,sem,0.21514243,0.452711024,0.332146546,0.355719646,149.5503999,0.524768741,0.376695799,0.863680709,37.8,7.233333333,45.03333333,0.889783784
C,0,65,sem,0.218246889,0.449489561,0.332263549,0.346308295,149.5836385,0.514456156,0.484156037,0.831482816,40.96666667,8.166666667,49.13333333,0.898361111
C,0,65,sem,0.229978823,0.440962455,0.329058722,0.314459163,148.1765648,0.478461669,0.42223303,0.856304905,41.7,8.566666667,50.26666667,0.908984127
C,0,65,sem,0.256448123,0.427561399,0.315990478,0.250162125,140.8782242,0.400207493,0.476839432,0.823641159,41.66666667,9.366666667,51.03333333,0.915092308
C,0,65,com,0.224128975,0.442826923,0.333044102,0.327904662,149.8809735,0.493867777,0.465568613,0.846193278,38.83333333,8,46.83333333,0.893428571
C,0,65,com,0.223722681,0.445356582,0.330920737,0.331252086,149.0203048,0.497654936,0.468026592,0.839330073,41.03333333,9.2,50.23333333,0.903948052
C,0,65,com,0.236938708,0.424952614,0.338108678,0.284055554,152.2859,0.442434992,0.462747031,0.87763877,39.06666667,7.933333333,47,0.883430769
C,0,65,com,0.218086643,0.44994412,0.331969237,0.347076048,149.4704995,0.515302827,0.4596187,0.838751155,40.1,8.233333333,48.33333333,0.879868852
C,0,65,com,0.255318835,0.424875247,0.319805919,0.249276518,142.8196917,0.399073406,0.480213238,0.833680517,39.6,9.466666667,49.06666667,0.8885
D,0,65,sem,0.258847859,0.45292379,0.28822835,0.272666003,129.0831947,0.428495776,0.41059794,0.770764287,41.06666667,9.666666667,50.73333333,
D,0,65,sem,0.257037111,0.431585931,0.311376958,0.253475138,138.6789621,0.404435844,0.465677816,0.813734125,42.23333333,9.8,52.03333333,0.893329412
D,0,65,sem,0.266455036,0.434717178,0.298827786,0.239972633,131.5436838,0.387061176,0.498183072,0.769050161,39.86666667,8.866666667,48.73333333,0.885961538
D,0,65,sem,0.262983967,0.438464761,0.298551271,0.250169095,132.1610929,0.400216413,0.461137355,0.780443704,41.2,10.2,51.4,0.908604938
D,0,65,sem,0.261783677,0.440918527,0.297297796,0.254922853,131.895213,0.406276533,0.444709415,0.782422534,40.26666667,9.3,49.56666667,0.901591549
D,0,65,com,0.218811379,0.435733038,0.345455583,0.331408615,155.0294767,0.497831562,0.468940002,0.872351016,39.96666667,9.9,49.86666667,0.902772727
D,0,65,com,0.209758257,0.454749102,0.335492641,0.368680409,150.7932448,0.538738491,0.459137307,0.838448317,42.16666667,11.2,53.36666667,0.862974026
D,0,65,com,0.208427334,0.456218366,0.3353543,0.372816724,150.7340337,0.543141291,0.445833459,0.841086382,40.53333333,9.466666667,50,0.866904762
D,0,65,com,0.208454012,0.451377286,0.340168703,0.368159672,152.5324179,0.538182318,0.4958688,0.836051949,40.93333333,9.2,50.13333333,0.856205128
D,0,65,com,0.210776204,0.450906886,0.33831691,0.362908899,151.8678242,0.532550487,0.480637483,0.839314145,39.4,8.833333333,48.23333333,0.863886076
A,0,87,sem,0.245320349,0.42757629,0.327103361,0.270852803,146.9235706,0.426253619,0.336417121,0.895351812,43.73333333,12.43333333,56.16666667,
A,0,87,sem,0.235793773,0.428984299,0.335221928,0.290609054,150.8798233,0.45034405,0.391633603,0.890895357,44.9,12.9,57.8,
A,0,87,sem,0.224325521,0.437833271,0.337841208,0.322441917,151.9002059,0.487646245,0.378045425,0.888659477,44.63333333,11.86666667,56.5,
A,0,87,sem,0.234948551,0.419181185,0.345870265,0.281645405,156.1244516,0.439505972,0.342574433,0.939997929,46.96666667,14,60.96666667,
A,0,87,sem,0.241959972,0.406854655,0.351185373,0.254147603,159.7436956,0.405291375,0.392965456,0.954712698,42.1,10.73333333,52.83333333,
A,0,87,com,0.239484066,0.429924972,0.330590962,0.284491089,148.7039895,0.442963118,0.361810681,0.891208675,42.3,11.13333333,53.43333333,
A,0,87,com,0.221999438,0.445522313,0.33247825,0.334854819,149.6557062,0.50170972,0.266285144,0.908755635,44.5,12.2,56.7,
A,0,87,com,0.27296622,0.40281009,0.32422369,0.192140311,143.6857407,0.322345128,0.390160644,0.894085524,44.86666667,11.73333333,56.6,
A,0,87,com,0.231403405,0.440478492,0.328118103,0.311178332,147.7550136,0.474654476,0.252226876,0.911900736,,,,
A,0,87,com,0.231708564,0.433271534,0.335019903,0.303111282,150.753071,0.465211661,0.325752626,0.907195632,42.6,11.63333333,54.23333333,
B,0,87,sem,0.223694468,0.429190183,0.347115349,0.314750416,156.0360452,0.478798732,0.395525352,0.90875889,44.13333333,10.83333333,54.96666667,
